time,open,high,low,close,tick_volume,spread,real_volume
2025-11-04 04:00:00,3987.19,3987.22,3975.85,3978.42,1498,18,0
2025-11-04 04:05:00,3978.4,3982.13,3976.87,3977.01,1275,18,0
2025-11-04 04:10:00,3976.96,3979.51,3975.98,3977.25,1122,18,0
2025-11-04 04:15:00,3977.24,3981.85,3977.21,3980.0,769,18,0
2025-11-04 04:20:00,3979.95,3982.01,3978.24,3980.37,760,18,0
2025-11-04 04:25:00,3980.31,3984.0,3980.2,3983.91,550,18,0
2025-11-04 04:30:00,3983.85,3985.19,3977.09,3980.47,1410,18,0
2025-11-04 04:35:00,3980.46,3983.88,3978.98,3982.74,1036,18,0
2025-11-04 04:40:00,3982.74,3984.25,3980.76,3983.24,845,18,0
2025-11-04 04:45:00,3982.87,3984.33,3976.34,3976.52,981,18,0
2025-11-04 04:50:00,3976.7,3982.33,3975.75,3981.86,1266,18,0
2025-11-04 04:55:00,3981.8,3986.8,3981.73,3986.76,901,18,0
2025-11-04 05:00:00,3986.71,3989.45,3982.53,3983.17,952,18,0
2025-11-04 05:05:00,3983.2,3987.3,3981.75,3987.19,804,18,0
2025-11-04 05:10:00,3987.2,3990.48,3987.2,3988.45,827,18,0
2025-11-04 05:15:00,3988.43,3989.51,3984.98,3986.69,776,18,0
2025-11-04 05:20:00,3986.64,3991.53,3986.56,3991.49,921,18,0
2025-11-04 05:25:00,3991.11,3993.88,3990.58,3992.95,618,18,0
2025-11-04 05:30:00,3992.82,3997.66,3992.78,3995.28,1009,18,0
2025-11-04 05:35:00,3995.31,3999.21,3994.87,3998.3,825,18,0
2025-11-04 05:40:00,3998.22,3998.39,3991.02,3992.22,990,18,0
2025-11-04 05:45:00,3992.23,3994.62,3991.05,3992.06,615,18,0
2025-11-04 05:50:00,3992.05,3995.16,3992.03,3994.86,636,18,0
2025-11-04 05:55:00,3994.87,3995.36,3993.02,3994.58,663,18,0
2025-11-04 06:00:00,3994.53,3995.23,3991.03,3991.48,643,18,0
2025-11-04 06:05:00,3991.55,3994.14,3990.43,3992.01,681,18,0
2025-11-04 06:10:00,3992.0,3992.01,3988.07,3988.81,712,18,0
2025-11-04 06:15:00,3988.8,3990.61,3987.98,3990.61,416,18,0
2025-11-04 06:20:00,3990.63,3991.86,3989.37,3990.64,461,18,0
2025-11-04 06:25:00,3990.62,3993.13,3989.82,3991.72,593,18,0
2025-11-04 06:30:00,3991.68,3993.39,3990.95,3991.14,712,18,0
2025-11-04 06:35:00,3991.25,3992.52,3990.32,3990.92,759,18,0
2025-11-04 06:40:00,3990.9,3991.12,3988.07,3988.27,448,18,0
2025-11-04 06:45:00,3988.22,3988.67,3983.96,3985.8,743,18,0
2025-11-04 06:50:00,3985.85,3990.38,3985.82,3990.38,719,18,0
2025-11-04 06:55:00,3990.39,3991.38,3984.78,3985.61,797,18,0
2025-11-04 07:00:00,3985.54,3986.79,3982.17,3984.16,745,18,0
2025-11-04 07:05:00,3984.2,3984.5,3981.19,3983.6,773,18,0
2025-11-04 07:10:00,3983.57,3986.73,3983.27,3983.78,708,18,0
2025-11-04 07:15:00,3983.77,3986.31,3983.67,3984.42,524,18,0
